Year,Arca noae,Bivalvia,Callista chione,Cardiidae,Cerastoderma edule,Donax spp,Mya arenaria,Ruditapes decussatus,Solenidae,Tellina spp,Veneridae,Venerupis pullastra,Venus verrucosa,Total
1950,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2100,0.001,0.001,0.001,0.001,0.001,2100.012
1951,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1100,0.001,0.001,0.001,0.001,0.001,1100.012
1952,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1400,0.001,0.001,0.001,0.001,0.001,1400.012
1953,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1000,0.001,0.001,0.001,0.001,0.001,1000.012
1954,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1500,0.001,0.001,0.001,0.001,0.001,1500.012
1955,0.001,0.001,0.001,0.001,0.001,0.001,0.001,900,0.001,0.001,0.001,0.001,0.001,900.012
1956,0.001,0.001,0.001,0.001,0.001,0.001,0.001,400,0.001,0.001,0.001,0.001,0.001,400.012
1957,0.001,0.001,0.001,0.001,0.001,0.001,0.001,600,0.001,0.001,0.001,0.001,0.001,600.012
1958,0.001,0.001,0.001,0.001,0.001,0.001,0.001,500,0.001,0.001,0.001,0.001,0.001,500.012
1959,0.001,0.001,0.001,0.001,0.001,0.001,0.001,400,0.001,0.001,0.001,0.001,0.001,400.012
1960,0.001,0.001,0.001,0.001,0.001,0.001,0.001,200,0.001,0.001,0.001,0.001,0.001,200.012
1961,0.001,0.001,0.001,0.001,0.001,0.001,0.001,500,0.001,0.001,0.001,0.001,0.001,500.012
1962,0.001,0.001,0.001,0.001,0.001,0.001,0.001,200,0.001,0.001,0.001,0.001,0.001,200.012
1963,0.001,0.001,0.001,0.001,0.001,0.001,0.001,200,0.001,0.001,0.001,0.001,0.001,200.012
1964,0.001,0.001,0.001,0.001,0.001,0.001,0.001,500,0.001,0.001,0.001,0.001,0.001,500.012
1965,0.001,0.001,0.001,0.001,0.001,0.001,0.001,600,0.001,0.001,0.001,0.001,0.001,600.012
1966,0.001,0.001,0.001,0.001,100,0.001,0.001,900,0.001,0.001,0.001,0.001,0.001,1000.011
1967,0.001,0.001,0.001,0.001,600,0.001,0.001,800,0.001,0.001,0.001,0.001,0.001,1400.011
1968,0.001,0.001,0.001,0.001,2400,0.001,0.001,0.001,0.001,0.001,0.001,900,0.001,3300.011
1969,0.001,0.001,0.001,0.001,1700,0.001,0.001,100,0.001,0.001,0.001,500,0.001,2300.01
1970,0.001,0.001,0.001,0.001,900,0.001,0.001,0.001,0.001,0.001,0.001,721,0.001,1621.011
1971,0.001,0.001,0.001,0.001,900,0.001,0.001,0.001,0.001,0.001,0.001,565,0.001,1465.011
1972,0.001,0.001,0.001,0.001,900,150,0.001,0.001,0.001,0.001,0.001,600,0.001,1650.01
1973,0.001,0.001,0.001,0.001,800,415,0.001,100,0.001,0.001,0.001,1000,0.001,2315.009
1974,0.001,0.001,0.001,0.001,2500,295,0.001,200,0.001,0.001,282,800,0.001,4077.008
1975,0.001,0.001,0.001,0.001,998,197,0.001,228,1,0.001,90,893,0.001,2407.007
1976,0.001,0.001,0.001,0.001,1631,0.001,0.001,190,4,0.001,59,600,0.001,2484.008
1977,0.001,0.001,0.001,0.001,510,100,0.001,96,0.001,0.001,8,1341,0.001,2055.008
1978,0.001,0.001,0.001,0.001,515,52,0.001,3,0.001,0.001,216,1551,0.001,2337.008
1979,0.001,0.001,0.001,0.001,240,120,0.001,0.001,0.001,0.001,276,705,0.001,1341.009
1980,0.001,0.001,0.001,0.001,338,36,0.001,7,7,0.001,256,0.001,0.001,644.008
1981,0.001,0.001,0.001,0.001,110,84,0.001,206,6,0.001,199,0.001,0.001,605.008
1982,0.001,0.001,0.001,0.001,139,0.001,0.001,44,0.001,0.001,232,9,0.001,424.009
1983,0.001,0.001,0.001,0.001,159,89,0.001,74,0.001,0.001,268,12,0.001,602.008
1984,0.001,0.001,0.001,0.001,160,78,0.001,50,0.001,0.001,417,8,0.001,713.008
1985,0.001,0.001,0.001,0.001,119,0.001,0.001,121,0.001,0.001,545,159,0.001,944.009
1986,0.001,0.001,0.001,0.001,0.001,0.001,0.001,640,1,0.001,643,0.001,0.001,1284.01
1987,0.001,2884,0.001,0.001,0.001,245,0.001,402,10,0.001,171,0.001,0.001,3712.008
1988,0.001,1320,0.001,0.001,0.001,0.001,0.001,215,4,0.001,158,0.001,0.001,1697.009
1989,0.001,1103,0.001,0.001,0.001,0.001,0.001,122,0.001,0.001,105,0.001,0.001,1330.01
1990,0.001,1500,0.001,0.001,0.001,0.001,0.001,202,0.001,0.001,134,0.001,0.001,1836.01
1991,0.001,2004,0.001,0.001,0.001,0.001,0.001,159,0.001,0.001,100,0.001,0.001,2263.01
1992,0.001,2547,0.001,0.001,0.001,0.001,0.001,1562,0.001,0.001,120,0.001,0.001,4229.01
1993,0.001,3043,0.001,0.001,0.001,0.001,0.001,1733,0.001,0.001,130,0.001,0.001,4906.01
1994,0.001,3532,0.001,0.001,0.001,0.001,0.001,1132,0.001,0.001,64,0.001,0.001,4728.01
1995,0.001,4016,0.001,0.001,0.001,0.001,0.001,1379,0.001,0.001,0,0.001,0.001,5395.01
1996,0.001,4116,0.001,0.001,0.001,0.001,0.001,488,2,0.001,0,5,0.001,4611.008
1997,0.001,3276,0.001,0.001,0.001,0.001,0.001,135,4,0.001,0,5,0.001,3420.008
1998,0.001,3652,0.001,0.001,0.001,0.001,0.001,172,1,0.001,0,0,0.001,3825.008
1999,0.001,2285,0.001,0.001,1,275,0.001,143,5,0.001,18,141,0.001,2868.006
2000,0.001,1712,0.001,0.001,0.001,292,0.001,796,5,0.001,18,27,0.001,2850.007
2001,0.001,1571,0.001,0.001,0.001,174,0.001,569,5,0.001,22,0,0.001,2341.007
2002,0.001,2055,0.001,0.001,0.001,176,0.001,1026,5,0.001,12,3,0.001,3277.007
2003,0.001,1532,0.001,0.001,0.001,209,0.001,519,5,0.001,13,0.001,0.001,2278.008
